_kind,_metadata_name,_status_phase
Namespace,default,Active
Namespace,kube-node-lease,Active
Namespace,kube-public,Active
Namespace,kube-system,Active
Namespace,openshift,Active
Namespace,openshift-apiserver,Active
Namespace,openshift-apiserver-operator,Active
Namespace,openshift-authentication,Active
Namespace,openshift-authentication-operator,Active
Namespace,openshift-cloud-credential-operator,Active
Namespace,openshift-cluster-csi-drivers,Active
Namespace,openshift-cluster-machine-approver,Active
Namespace,openshift-cluster-node-tuning-operator,Active
Namespace,openshift-cluster-samples-operator,Active
Namespace,openshift-cluster-storage-operator,Active
Namespace,openshift-cluster-version,Active
Namespace,openshift-config,Active
Namespace,openshift-config-managed,Active
Namespace,openshift-config-operator,Active
Namespace,openshift-console,Active
Namespace,openshift-console-operator,Active
Namespace,openshift-controller-manager,Active
Namespace,openshift-controller-manager-operator,Active
Namespace,openshift-dns,Active
Namespace,openshift-dns-operator,Active
Namespace,openshift-etcd,Active
Namespace,openshift-etcd-operator,Active
Namespace,openshift-image-registry,Active
Namespace,openshift-infra,Active
Namespace,openshift-ingress,Active
Namespace,openshift-ingress-operator,Active
Namespace,openshift-insights,Active
Namespace,openshift-kni-infra,Active
Namespace,openshift-kube-apiserver,Active
Namespace,openshift-kube-apiserver-operator,Active
Namespace,openshift-kube-controller-manager,Active
Namespace,openshift-kube-controller-manager-operator,Active
Namespace,openshift-kube-scheduler,Active
Namespace,openshift-kube-scheduler-operator,Active
Namespace,openshift-kube-storage-version-migrator,Active
Namespace,openshift-kube-storage-version-migrator-operator,Active
Namespace,openshift-logging,Active
Namespace,openshift-machine-api,Active
Namespace,openshift-machine-config-operator,Active
Namespace,openshift-marketplace,Active
Namespace,openshift-monitoring,Active
Namespace,openshift-multus,Active
Namespace,openshift-network-operator,Active
Namespace,openshift-node,Active
Namespace,openshift-oauth-apiserver,Active
Namespace,openshift-openstack-infra,Active
Namespace,openshift-operator-lifecycle-manager,Active
Namespace,openshift-operators,Active
Namespace,openshift-operators-redhat,Active
Namespace,openshift-ovirt-infra,Active
Namespace,openshift-sdn,Active
Namespace,openshift-service-ca,Active
Namespace,openshift-service-ca-operator,Active
Namespace,openshift-user-workload-monitoring,Active
Namespace,openshift-vsphere-infra,Active
